date,visits,donations,average_donation_value,region
2023-03-29,773,363,173.67,Asia
2023-08-14,955,112,36.82,North America
2023-12-08,601,373,136.83,Africa
2023-05-17,334,265,80.47,South America
2023-07-13,407,55,57.33,Australia
2023-09-02,981,311,12.72,South America
2023-11-27,713,349,175.1,South America
2023-08-04,70,50,77.36,North America
2023-01-05,652,343,166.43,Australia
2023-07-02,356,54,130.69,North America
2023-03-10,44,13,101.1,Australia
2023-03-16,106,33,31.59,Europe
2023-08-01,155,153,31.41,Africa
2023-04-08,103,72,44.3,South America
2023-08-31,654,553,167.36,Africa
2023-02-17,608,553,184.77,Australia
2023-08-16,204,104,156.41,Europe
2023-10-25,876,844,11.02,Australia
2023-04-03,535,296,76.07,Europe
2023-05-04,663,461,194.11,Asia
2023-07-29,381,278,7.47,Europe
2023-03-19,583,19,54.98,North America
2023-08-16,281,97,194.62,South America
2023-12-08,312,149,177.52,Africa
2023-06-01,442,94,12.63,Australia
2023-04-27,519,375,165.65,Australia
2023-11-15,255,161,59.34,Africa
2023-12-06,185,126,28.21,South America
2023-08-29,596,337,186.81,Africa
2023-12-15,591,232,126.8,Africa
2023-05-31,613,507,118.96,South America
2023-05-08,428,264,73.11,Africa
2023-10-20,216,15,157.16,Africa
2023-06-20,386,293,75.78,Asia
2023-05-15,627,256,39.91,Africa
2023-10-26,914,682,128.73,Asia
2023-12-23,349,290,33.77,South America
2023-10-03,626,343,198.49,Australia
2023-04-07,92,60,121.31,South America
2023-06-14,909,65,116.58,Australia
2023-01-30,868,3,162.91,Africa
2023-05-22,530,266,181.42,Australia
2023-12-24,463,32,146.82,Africa
2023-02-22,548,145,94.44,Asia
2023-10-25,776,60,28.96,Africa
2023-07-05,189,42,107.88,Europe
2023-09-02,186,28,14.66,North America
2023-06-09,880,97,63.84,North America
2023-06-18,412,166,61.62,Australia
2023-04-12,256,206,110.62,Asia
2023-09-30,135,69,194.29,Asia
2023-02-16,939,607,56.45,North America
2023-12-25,74,69,17.17,South America
2023-09-13,124,100,30.35,Africa
2023-08-05,290,173,187.63,Africa
2023-04-23,482,16,136.77,South America
2023-09-06,815,276,185.28,Europe
2023-05-20,742,99,164.41,Africa
2023-03-27,547,542,186.67,Africa
2023-10-29,711,691,184.07,Australia
2023-02-06,259,113,195.42,Australia
2023-09-03,403,183,107.24,Africa
2023-01-25,310,68,85.09,South America
2023-09-29,786,254,109.44,Europe
2023-04-10,462,360,142.29,North America
2023-09-23,732,490,104.66,Asia
2023-08-28,478,274,165.9,Africa
2023-10-02,763,227,183.85,South America
2023-10-27,258,53,84.59,Europe
2023-08-22,111,65,78.91,Asia
2023-05-09,718,281,190.34,North America
2023-12-03,561,340,180.19,North America
2023-10-09,567,556,62.92,Asia
2023-08-26,653,105,184.33,Africa
2023-08-31,443,25,181.96,Africa
2023-12-25,141,15,173.57,Europe
2023-04-29,530,132,98.85,Asia
2023-07-29,935,680,82.14,Asia
2023-07-13,381,186,84.96,Africa
2023-01-08,331,203,44.12,Europe
2023-08-10,835,140,129.77,Australia
2023-02-05,285,127,173.5,Asia
2023-01-26,673,327,23.98,Australia
2023-07-30,428,420,11.69,Europe
2023-01-15,104,90,176.14,Africa
2023-02-18,856,201,162.05,South America
2023-06-21,634,77,169.58,South America
2023-12-21,667,211,34.16,Europe
2023-02-13,770,541,61.86,Australia
2023-01-15,569,312,75.63,Australia
2023-09-18,955,586,74.44,South America
2023-02-11,734,611,118.77,Europe
2023-09-09,694,358,77.54,Europe
2023-11-21,609,459,38.35,Europe
2023-04-18,956,209,105.23,North America
2023-03-07,948,495,170.45,South America
2023-05-12,625,250,50.48,Australia
2023-09-09,525,276,199.37,Europe
2023-09-12,802,173,39.18,Africa
2023-04-01,794,689,88.11,Australia
2023-05-30,910,459,117.37,Africa
2023-12-04,78,39,138.91,Asia
2023-09-17,135,8,159.26,Australia
2023-07-13,289,52,36.59,Asia
2023-02-20,588,296,105.83,Europe
2023-07-28,456,239,168.48,Asia
2023-08-25,11,3,19.73,Europe
2023-01-23,97,67,172.42,Asia
2023-01-31,947,266,105.48,Asia
2023-04-10,705,379,140.74,Africa
2023-03-12,704,403,187.76,Europe
2023-09-04,264,201,122.28,Africa
2023-08-24,802,136,45.43,North America
2023-08-28,993,261,7.21,South America
2023-08-26,223,108,158.26,Asia
2023-08-14,539,198,73.37,Asia
2023-09-15,783,753,149.1,Africa
2023-02-16,91,80,25.83,North America
2023-12-04,107,14,15.84,Africa
2023-11-29,707,89,143.52,North America
2023-02-12,902,627,173.25,Africa
2023-09-29,734,226,135.36,Europe
2023-01-14,50,50,79.95,North America
2023-08-30,59,59,12.15,North America
2023-12-04,74,27,15.53,Europe
2023-09-30,195,20,135.6,North America
2023-08-26,447,3,178.86,Europe
2023-02-17,926,71,23.14,Africa
2023-04-03,603,334,41.64,South America
2023-01-07,710,10,25.41,South America
2023-03-28,710,259,188.0,North America
2023-07-01,635,383,198.84,Asia
2023-10-23,580,139,75.73,South America
2023-12-18,913,662,86.08,North America
2023-11-26,396,99,149.53,Asia
2023-01-10,597,87,72.26,South America
2023-12-03,214,152,170.33,Europe
2023-02-22,705,165,97.08,Asia
2023-12-29,759,208,169.24,South America
2023-04-12,657,428,95.83,Europe
2023-10-06,362,336,42.49,South America
2023-01-18,554,116,165.72,Africa
2023-10-31,359,284,44.49,South America
2023-08-24,367,46,81.99,South America
2023-11-01,648,83,44.03,Africa
2023-09-08,670,102,75.48,Asia
2023-11-28,974,686,81.27,Australia
2023-09-18,562,23,139.36,Europe
2023-10-23,328,49,171.28,Asia
2023-08-26,450,237,165.17,Africa
2023-11-28,411,71,166.69,Africa
2023-10-22,634,103,84.69,Asia
2023-07-10,615,24,126.28,Asia
2023-12-20,232,30,150.02,Africa
2023-04-29,561,173,163.57,Europe
2023-03-24,769,187,79.17,Europe
2023-12-16,59,44,171.97,Asia
2023-04-23,294,178,70.4,North America
2023-08-24,390,281,68.85,North America
2023-06-28,541,155,118.77,North America
2023-01-18,771,554,16.62,Australia
2023-11-17,893,629,185.53,North America
2023-07-05,755,211,89.1,Australia
2023-02-14,463,339,75.96,Africa
2023-06-19,966,168,154.05,Asia
2023-09-09,627,371,23.98,Europe
2023-01-12,156,101,29.05,Africa
2023-05-14,938,56,28.44,Europe
2023-07-24,344,316,119.83,North America
2023-07-06,999,999,191.33,Europe
2023-04-20,811,662,63.02,North America
2023-03-01,949,85,66.31,Australia
2023-06-25,698,442,31.0,Europe
2023-07-13,676,188,142.09,Australia
2023-02-25,335,290,105.9,Asia
2023-07-04,604,227,169.8,Australia
2023-11-17,631,344,183.23,Africa
2023-04-15,401,37,136.76,Europe
2023-03-23,930,556,67.04,Australia
2023-01-29,301,230,143.38,Asia
2023-07-08,744,180,162.77,Africa
2023-01-29,144,63,175.44,Australia
2023-12-12,354,304,163.17,South America
2023-01-08,751,693,27.77,Australia
2023-08-17,111,3,105.4,Africa
2023-09-09,301,145,124.16,Australia
2023-08-27,699,255,161.98,South America
2023-04-17,71,66,33.69,Australia
2023-12-29,669,466,60.4,Australia
2023-01-05,481,239,191.1,Australia
2023-07-16,41,36,61.71,Australia
2023-06-04,12,0,0.0,South America
2023-11-18,438,411,161.27,South America
2023-05-11,829,208,133.15,Asia
2023-01-26,202,82,66.78,North America
2023-12-07,499,45,114.41,Europe
2023-09-13,935,284,80.2,Australia
2023-05-28,393,282,109.8,Africa
2023-08-07,481,353,162.24,Europe
2023-12-24,512,54,60.02,Europe
2023-01-30,135,96,25.05,Asia
2023-03-19,846,580,106.94,South America
2023-05-09,769,351,16.97,Australia
2023-09-21,562,328,88.71,Asia
2023-12-06,937,714,94.06,North America
2023-01-31,265,91,188.89,Asia
2023-02-25,47,4,11.03,North America
2023-02-13,54,53,9.2,North America
2023-06-06,845,281,40.25,Africa
2023-11-23,791,750,165.63,Asia
2023-12-04,459,318,154.85,Asia
2023-07-31,665,96,78.07,South America
2023-05-21,371,364,44.69,Africa
2023-11-04,357,286,125.16,North America
2023-01-10,741,176,86.79,Europe
2023-05-27,106,15,92.22,North America
2023-09-09,107,17,109.44,South America
2023-07-25,825,320,189.37,Africa
2023-09-17,505,483,21.64,Asia
2023-12-13,659,134,120.59,South America
2023-06-17,394,367,117.94,Africa
2023-05-12,521,496,12.28,Europe
2023-09-01,795,636,51.57,North America
2023-05-06,188,44,41.99,Europe
2023-03-24,905,765,139.46,Africa
2023-04-11,247,55,6.55,Asia
2023-05-19,653,41,74.86,Europe
2023-11-21,467,136,150.7,Australia
2023-07-03,280,76,187.91,South America
2023-09-04,51,49,168.57,North America
2023-03-10,227,33,110.04,North America
2023-07-07,54,9,179.34,Australia
2023-07-14,105,63,84.85,Europe
2023-08-23,486,401,30.01,Australia
2023-09-25,835,142,140.0,North America
2023-11-16,964,364,87.92,Australia
2023-12-14,609,409,48.73,Australia
2023-06-03,701,561,189.3,Asia
2023-10-01,889,857,78.96,Europe
2023-10-19,170,36,180.38,Asia
2023-02-11,452,66,108.31,Asia
2023-12-30,434,138,45.82,Asia
2023-04-01,70,63,48.56,Australia
2023-11-13,357,200,109.05,Africa
2023-11-06,916,186,76.91,Asia
2023-02-27,511,147,63.33,South America
2023-05-02,955,395,71.76,Europe
2023-06-28,44,32,83.48,South America
2023-09-02,136,120,195.63,Europe
2023-12-25,138,126,194.19,Europe
2023-04-16,673,245,133.64,Africa
2023-05-14,735,298,162.25,North America
2023-04-24,748,626,51.96,North America
2023-04-08,238,66,16.95,Australia
2023-06-21,691,222,30.42,South America
2023-01-25,420,405,9.13,Europe
2023-07-27,306,257,169.32,South America
2023-02-09,56,15,134.66,South America
2023-11-05,95,3,195.36,Africa
2023-01-31,888,537,129.28,Africa
2023-07-15,450,414,82.75,Australia
2023-07-09,983,888,139.34,Africa
2023-02-01,291,187,174.0,Europe
2023-09-02,314,200,168.61,Australia
2023-05-05,383,297,60.89,Europe
2023-08-25,533,410,39.95,Africa
2023-05-17,845,508,164.04,Australia
2023-02-26,655,554,112.37,North America
2023-07-07,871,844,92.97,North America
2023-08-28,975,301,125.67,Europe
2023-08-31,438,272,7.08,Asia
2023-09-01,287,205,56.62,Europe
2023-02-04,452,273,94.93,Asia
2023-11-05,626,500,41.2,Africa
2023-02-19,796,190,112.11,Asia
2023-10-30,834,623,105.93,Asia
2023-10-20,436,337,17.59,Africa
2023-09-13,306,126,182.78,South America
2023-06-15,210,102,166.51,North America
2023-01-16,772,414,150.89,South America
2023-06-18,302,4,168.64,Africa
2023-11-19,837,599,134.43,Europe
2023-09-21,843,346,100.91,North America
2023-03-17,901,819,61.08,Asia
2023-05-10,263,227,38.3,Europe
2023-09-27,627,96,83.85,Europe
2023-10-09,12,8,71.18,Europe
2023-10-15,145,117,173.51,Europe
2023-10-18,916,739,104.01,Asia
2023-06-05,192,90,119.53,Australia
2023-01-12,146,112,95.0,Asia
2023-05-13,206,85,102.49,Asia
2023-09-18,697,330,73.3,Australia
2023-09-03,730,661,62.53,Europe
2023-09-15,381,337,143.8,Africa
2023-02-04,338,229,28.2,Asia
2023-07-14,422,334,175.15,Australia
2023-08-10,542,433,167.14,Asia
2023-11-08,811,151,105.92,North America
2023-07-18,95,89,145.28,Europe
2023-07-19,129,72,13.2,Asia
2023-05-26,964,490,124.13,North America
2023-07-12,886,48,30.58,Australia
2023-03-21,346,130,52.82,North America
2023-05-31,697,432,108.69,Australia
2023-10-22,723,584,8.52,Africa
2023-03-29,897,447,134.72,Europe
2023-01-07,915,183,173.41,Africa
2023-06-12,643,46,88.9,Asia
2023-11-16,922,705,87.44,Asia
2023-12-08,407,269,8.9,South America
2023-03-26,669,3,147.13,Africa
2023-06-07,765,366,30.42,Europe
2023-12-14,551,257,22.77,Europe
2023-04-19,851,659,168.28,Australia
2023-12-04,502,132,151.75,South America
2023-10-22,602,533,111.19,Australia
2023-04-26,254,99,119.36,Europe
2023-11-23,297,50,182.94,Europe
2023-09-14,66,43,60.09,North America
2023-10-02,325,232,40.48,Australia
2023-07-21,973,32,134.63,Asia
2023-03-15,69,54,169.65,Australia
2023-01-01,386,49,185.44,North America
2023-12-15,863,805,134.68,Asia
2023-09-07,211,74,171.22,South America
2023-01-23,958,122,73.64,Europe
2023-08-10,326,228,115.73,Africa
2023-12-17,227,64,61.06,South America
2023-07-27,761,592,58.81,Australia
2023-01-30,436,22,38.08,South America
2023-01-13,392,149,114.7,Australia
2023-04-16,546,53,11.82,South America
2023-01-01,746,213,17.21,Africa
2023-05-16,281,228,184.48,Africa
2023-03-26,497,230,93.76,Africa
2023-07-04,715,625,185.76,South America
2023-05-04,805,301,14.39,North America
2023-01-23,415,39,88.12,Asia
2023-10-16,747,586,49.75,North America
2023-10-11,946,4,43.33,South America
2023-06-29,195,133,10.24,North America
2023-01-19,519,411,19.09,Australia
2023-04-30,634,57,103.54,Asia
2023-02-14,296,29,26.65,Asia
2023-03-17,750,193,15.43,South America
2023-10-20,636,360,6.84,Australia
2023-04-25,749,562,65.16,Asia
2023-09-20,229,123,155.61,Africa
2023-05-03,311,199,198.81,Australia
2023-06-04,873,96,160.33,North America
2023-06-27,446,67,20.39,North America
2023-07-26,26,9,55.88,Europe
2023-03-12,458,385,28.03,North America
2023-03-15,352,281,96.23,Asia
2023-12-04,101,10,100.15,South America
2023-10-30,785,42,103.65,Africa
2023-07-22,426,39,84.61,North America
2023-11-13,847,268,122.58,North America
2023-04-20,953,755,189.14,North America
2023-07-26,496,316,188.09,Asia
2023-04-11,188,38,82.0,Australia
2023-12-17,328,210,110.67,Australia
2023-12-16,900,389,78.65,South America
2023-07-27,745,193,145.27,Australia
2023-10-12,614,71,53.39,Europe
2023-09-02,128,13,124.64,Asia
2023-05-26,219,185,107.81,Asia
2023-06-20,495,170,134.68,Africa
2023-12-05,896,504,63.71,Asia
2023-03-02,463,429,143.22,Europe
2023-04-06,947,426,76.64,Australia
2023-04-01,188,80,76.49,Asia
2023-08-11,305,125,187.69,Africa
2023-03-26,898,419,77.45,South America
2023-10-02,181,40,16.7,Australia
2023-02-26,597,579,69.39,North America
2023-05-27,614,374,113.22,Africa
2023-06-18,685,515,31.8,Africa
2023-03-20,110,31,187.76,South America
2023-05-30,163,133,51.91,North America
2023-11-25,704,207,146.72,Australia
2023-05-02,560,225,146.33,Asia
2023-12-25,873,143,149.88,Europe
2023-10-02,246,163,96.11,Europe
2023-08-07,370,257,65.36,Australia
2023-01-22,747,551,110.66,Africa
2023-08-02,268,20,80.34,Africa
2023-07-09,680,315,76.17,South America
2023-03-13,545,40,152.91,Europe
2023-05-18,184,178,132.67,North America
2023-05-06,530,157,88.74,Africa
2023-12-08,573,519,177.43,North America
2023-11-01,923,407,95.43,South America
2023-08-14,106,72,53.84,Australia
2023-12-03,583,170,25.97,Africa
2023-12-20,670,400,150.52,North America
2023-06-24,877,750,168.24,South America
2023-01-24,978,52,89.86,Asia
2023-10-23,235,11,78.27,Australia
2023-09-17,471,416,168.64,Africa
2023-01-04,630,20,189.49,Europe
2023-05-24,807,41,196.76,Asia
2023-10-20,626,384,103.96,Asia
2023-11-23,507,464,73.56,South America
2023-06-27,778,688,11.48,Africa
2023-12-29,849,522,7.53,Africa
2023-05-09,517,25,198.53,Europe
2023-02-17,227,189,132.14,Asia
2023-05-23,287,147,33.33,Europe
2023-04-10,767,205,40.74,North America
2023-05-22,688,338,117.82,Europe
2023-01-04,725,708,44.74,South America
2023-08-18,903,91,113.21,South America
2023-03-18,458,408,197.38,Australia
2023-03-21,615,363,153.77,Australia
2023-03-22,922,725,117.56,Asia
2023-12-16,947,755,149.86,Europe
2023-12-20,406,354,104.17,Europe
2023-12-02,418,246,19.04,Australia
2023-06-19,747,745,180.14,Africa
2023-06-11,506,201,28.38,Australia
2023-01-10,987,65,179.57,Australia
2023-11-06,107,76,175.26,North America
2023-05-13,274,200,103.22,Asia
2023-10-16,908,786,68.24,North America
2023-08-05,46,40,39.75,North America
2023-12-21,301,147,182.63,Asia
2023-04-07,24,5,60.72,Australia
2023-01-24,54,14,32.13,Europe
2023-08-04,256,2,97.0,North America
2023-07-13,536,236,16.89,South America
2023-05-13,174,164,120.18,Africa
2023-08-25,440,126,146.09,Asia
2023-11-15,458,267,17.51,South America
2023-05-25,639,89,13.94,South America
2023-10-22,655,576,87.72,North America
2023-01-27,112,107,184.95,Europe
2023-03-12,323,59,48.81,Europe
2023-03-11,507,11,70.19,Africa
2023-12-24,130,111,115.17,Europe
2023-07-16,910,617,72.95,Australia
2023-01-23,254,180,88.9,South America
2023-06-26,112,15,198.97,Africa
2023-01-18,888,639,13.71,North America
2023-09-11,656,287,35.73,Europe
2023-12-01,173,159,90.88,Africa
2023-02-20,457,49,26.05,Africa
2023-09-09,748,579,170.52,Europe
2023-09-02,991,310,54.74,Africa
2023-12-28,623,271,62.24,North America
2023-04-18,568,271,166.72,Asia
2023-06-29,367,124,70.68,Australia
2023-09-09,21,8,83.54,Asia
2023-04-09,646,625,18.24,North America
2023-12-18,606,491,100.16,Europe
2023-04-15,146,129,16.04,Africa
2023-04-21,696,42,163.71,Australia
2023-02-18,583,573,135.7,South America
2023-07-21,866,764,29.49,North America
2023-06-13,841,668,164.28,Australia
2023-12-05,720,437,47.64,Africa
2023-06-18,275,255,195.55,North America
2023-11-22,315,65,76.03,South America
2023-01-09,202,184,54.49,Europe
2023-10-17,413,281,74.77,South America
2023-12-02,956,387,192.56,Asia
2023-04-05,847,823,147.67,North America
2023-04-19,220,196,107.07,Europe
2023-01-28,264,30,113.68,Australia
2023-07-02,998,840,190.66,Australia
2023-12-07,471,152,52.84,Australia
2023-01-09,374,93,155.07,South America
2023-08-13,677,595,135.82,Africa
2023-03-27,653,59,123.97,Africa
2023-04-06,335,21,19.61,South America
2023-02-20,385,156,161.91,Africa
2023-09-15,19,7,119.63,Australia
2023-04-15,657,309,131.87,Asia
2023-05-21,872,730,106.39,Europe
2023-12-24,99,5,34.73,North America
2023-05-27,325,10,62.4,Asia
2023-03-18,724,370,83.34,North America
2023-07-24,438,133,43.91,Africa
2023-04-16,110,46,95.31,Africa
2023-03-27,663,626,116.83,Australia
2023-06-09,262,86,86.95,South America
2023-01-21,405,396,77.25,Europe
2023-09-19,948,515,125.02,Europe
2023-12-21,788,2,102.75,North America
2023-03-03,120,29,107.05,North America
2023-04-13,383,355,102.16,Australia
2023-09-14,29,20,121.39,Europe
2023-11-23,39,11,75.23,North America
2023-06-09,237,196,37.56,Africa
2023-11-30,209,30,86.56,Asia
2023-09-16,344,30,165.99,Asia
2023-08-05,799,369,128.66,Africa
2023-11-07,436,6,116.32,South America
2023-09-26,998,361,94.45,South America
2023-02-17,83,38,98.91,North America
2023-05-10,512,474,115.05,Europe
2023-10-17,949,308,67.92,Australia
2023-02-21,710,243,106.92,North America
2023-09-24,934,518,28.26,Africa
2023-02-14,849,704,110.68,Asia
2023-05-12,470,207,47.88,South America
2023-12-22,553,112,191.07,South America
2023-03-25,779,630,180.26,North America
2023-06-27,55,8,117.46,Europe
2023-03-18,583,68,114.98,South America
2023-10-05,64,45,97.67,South America
2023-08-18,696,234,105.73,Europe
2023-06-17,125,62,168.44,Asia
2023-11-15,630,153,119.99,Europe
2023-02-22,859,499,57.23,North America
2023-04-09,226,224,36.72,Asia
2023-04-05,425,153,150.39,North America
2023-11-17,427,211,194.69,Africa
2023-02-19,872,158,41.32,Europe
2023-03-22,944,258,11.29,North America
2023-03-25,929,337,110.65,Asia
2023-09-14,799,195,150.81,Europe
2023-12-13,241,139,58.98,South America
2023-09-14,11,2,6.89,South America
2023-01-17,286,283,98.62,Asia
2023-05-02,309,308,25.41,Asia
2023-11-20,947,185,146.21,Australia
2023-05-15,769,200,32.56,Australia
2023-06-28,869,713,193.75,Africa
2023-08-12,612,560,89.87,South America
2023-06-01,814,750,65.63,Asia
2023-10-11,721,108,142.09,Asia
2023-05-31,967,480,169.65,South America
2023-06-28,345,81,13.63,Asia
2023-02-07,614,525,41.78,Africa
2023-05-04,122,47,96.12,South America
2023-07-02,559,307,180.69,North America
2023-04-01,21,8,31.45,North America
2023-10-30,293,264,82.89,North America
2023-03-07,885,215,94.05,Africa
2023-08-31,969,695,12.4,Asia
2023-12-05,907,390,150.71,Australia
2023-03-12,547,89,58.39,Australia
2023-11-06,610,349,13.77,South America
2023-03-08,134,100,196.46,South America
2023-04-25,563,300,34.53,Asia
2023-01-18,542,5,160.46,North America
2023-06-13,419,158,102.56,Africa
2023-09-11,247,61,129.37,North America
2023-09-10,727,326,132.82,North America
2023-11-24,135,72,156.15,Africa
2023-07-22,215,102,189.4,Africa
2023-08-20,324,214,135.38,Asia
2023-11-28,236,5,58.43,Australia
2023-06-01,334,305,119.26,Africa
2023-05-10,305,281,7.15,Asia
2023-04-10,101,85,199.77,Asia
2023-07-15,597,351,20.91,Europe
2023-03-22,331,37,95.18,Africa
2023-10-09,762,652,13.32,South America
2023-07-12,687,307,180.99,South America
2023-06-29,748,298,162.8,Australia
2023-06-07,678,85,137.68,Africa
2023-02-02,731,702,91.29,Australia
2023-05-30,393,97,176.14,Europe
2023-10-31,677,144,111.54,Africa
2023-02-01,236,137,166.91,Africa
2023-02-01,226,50,98.0,Africa
2023-12-24,253,168,124.02,Europe
2023-11-30,543,442,43.17,Africa
2023-06-14,186,46,122.9,Africa
2023-09-30,611,20,51.31,North America
2023-01-09,737,694,119.89,Australia
2023-02-24,376,281,25.49,South America
2023-07-10,947,374,94.81,South America
2023-06-16,351,72,82.25,Europe
2023-07-03,909,8,177.16,North America
2023-01-14,65,54,78.15,Australia
2023-01-28,258,218,59.91,North America
2023-05-11,110,84,94.06,Asia
2023-02-07,818,299,135.04,North America
2023-08-05,834,27,122.81,South America
2023-06-25,558,10,65.17,Australia
2023-01-28,966,866,5.28,Africa
2023-06-21,743,88,161.39,Australia
2023-02-04,564,213,174.51,South America
2023-04-11,908,877,6.95,Africa
2023-02-22,328,176,135.04,South America
2023-03-01,960,437,9.06,Europe
2023-09-02,308,91,146.41,Africa
2023-02-27,958,548,82.52,North America
2023-07-16,613,81,157.96,South America
2023-11-07,739,490,92.3,Australia
2023-08-07,753,120,27.89,Australia
2023-09-25,394,335,122.86,South America
2023-11-16,512,482,21.86,Australia
2023-10-26,160,131,28.74,Europe
2023-06-07,172,147,181.45,Africa
2023-09-16,833,660,6.6,Europe
2023-02-10,47,30,45.27,Australia
2023-03-16,814,146,34.0,Africa
2023-09-03,47,12,180.49,Africa
2023-10-26,965,248,79.04,Asia
2023-06-24,222,196,162.07,Australia
2023-11-09,345,95,193.65,North America
2023-01-21,707,704,78.77,South America
2023-07-27,355,318,22.56,North America
2023-11-05,977,710,183.97,Asia
2023-04-29,416,257,185.68,Australia
2023-10-28,235,62,32.81,Asia
2023-11-29,512,476,157.3,Asia
2023-12-22,976,761,120.71,North America
2023-10-14,57,54,59.89,Africa
2023-11-18,319,99,66.7,Asia
2023-12-10,85,7,69.23,North America
2023-12-15,965,872,77.88,North America
2023-06-24,534,195,82.85,Australia
2023-10-07,351,161,17.59,Africa
2023-11-13,782,333,137.84,Europe
2023-11-12,291,60,94.64,Africa
2023-06-12,648,38,116.02,Asia
2023-04-14,633,236,134.94,North America
2023-02-16,560,415,183.1,Asia
2023-12-10,819,42,16.56,North America
2023-05-26,234,108,123.5,South America
2023-07-24,565,557,30.18,Australia
2023-04-01,742,205,186.11,Africa
2023-11-01,432,85,110.73,Asia
2023-06-08,684,372,65.39,North America
2023-11-11,792,669,60.5,Australia
2023-09-26,922,323,46.23,Australia
2023-02-23,66,0,0.0,Africa
2023-08-07,65,4,173.95,South America
2023-08-25,78,48,162.17,North America
2023-10-23,189,52,39.89,South America
2023-07-01,245,181,184.48,Europe
2023-04-13,751,3,196.23,Africa
2023-08-03,43,28,64.37,Africa
2023-09-08,356,156,75.86,South America
2023-02-21,950,24,180.69,Europe
2023-08-03,615,395,173.64,South America
2023-09-02,13,6,102.56,North America
2023-09-01,871,135,173.34,Africa
2023-07-03,153,52,100.59,Europe
2023-11-24,255,92,123.31,North America
2023-12-27,655,437,145.68,Asia
2023-11-08,253,166,135.36,Europe
2023-09-05,684,430,8.57,Asia
2023-11-24,466,151,38.62,North America
2023-03-21,955,76,90.22,North America
2023-03-16,788,91,84.07,North America
2023-02-11,186,109,130.32,North America
2023-08-23,926,789,116.4,Australia
2023-07-20,778,510,195.6,Asia
2023-08-08,731,558,131.95,Asia
2023-02-06,243,147,133.92,Australia
2023-06-22,445,62,162.15,North America
2023-05-02,808,354,158.33,Asia
2023-12-20,129,11,199.22,Europe
2023-04-21,233,57,100.29,Australia
2023-01-26,125,77,144.5,Asia
2023-07-10,805,110,33.75,Africa
2023-01-02,340,330,140.25,North America
2023-03-18,917,230,160.72,North America
2023-03-22,763,154,45.03,North America
2023-02-27,803,695,45.87,South America
2023-01-25,904,822,39.62,Australia
2023-08-24,698,379,5.77,North America
2023-12-16,835,319,135.94,Asia
2023-12-06,40,9,29.72,Australia
2023-01-14,541,132,79.25,Asia
2023-04-10,495,337,181.54,Australia
2023-03-07,936,697,85.24,South America
2023-11-15,536,452,125.18,Asia
2023-03-10,548,3,70.24,Australia
2023-09-28,194,21,186.33,North America
2023-04-12,409,330,85.09,Australia
2023-05-08,228,149,152.36,Asia
2023-03-18,560,19,84.94,Asia
2023-01-27,76,13,139.31,North America
2023-02-23,350,309,47.27,Europe
2023-12-22,848,604,164.93,Australia
2023-03-10,507,27,139.39,Asia
2023-07-11,341,58,117.23,Asia
2023-05-11,410,51,141.01,Africa
2023-05-19,175,22,102.66,Europe
2023-12-25,771,732,32.12,North America
2023-10-18,822,540,144.29,North America
2023-03-22,562,68,42.26,Australia
2023-10-05,950,30,161.37,Asia
2023-03-24,415,382,181.43,Asia
2023-02-16,201,183,45.21,South America
2023-04-28,908,842,141.63,South America
2023-12-16,420,210,58.52,South America
2023-06-25,494,143,145.16,North America
2023-09-08,800,25,36.14,North America
2023-01-02,684,222,28.62,Africa
2023-04-13,976,137,195.72,Australia
2023-09-11,951,269,177.47,Asia
2023-09-30,261,154,91.94,South America
2023-09-10,303,130,198.51,Asia
2023-03-10,123,28,130.03,South America
2023-07-06,283,40,149.24,Europe
2023-05-18,416,100,70.16,Asia
2023-05-15,39,14,74.68,Africa
2023-07-05,925,387,39.8,Europe
2023-09-14,927,277,112.49,Europe
2023-10-19,727,658,171.45,Africa
2023-01-15,582,399,77.71,Africa
2023-06-08,677,429,109.98,Asia
2023-10-18,876,408,64.49,Australia
2023-07-06,590,584,34.56,North America
2023-08-06,980,68,50.41,Africa
2023-01-29,445,344,146.04,South America
2023-11-04,801,296,175.63,North America
2023-08-23,989,921,56.05,South America
2023-10-13,519,470,143.96,North America
2023-07-10,308,176,80.07,Africa
2023-08-25,986,769,27.68,Europe
2023-01-21,934,925,24.15,South America
2023-08-21,270,128,182.58,South America
2023-07-16,621,597,23.09,Australia
2023-09-19,527,372,67.0,Australia
2023-11-29,307,215,138.69,Africa
2023-07-13,633,590,82.33,Asia
2023-09-28,534,243,174.06,Australia
2023-07-08,464,105,160.63,Europe
2023-07-06,909,111,99.48,North America
2023-06-27,436,183,21.93,Australia
2023-12-28,225,134,182.1,North America
2023-05-26,457,278,26.78,Australia
2023-12-21,586,209,142.99,Asia
2023-03-24,839,654,189.27,South America
2023-03-13,51,45,128.8,Australia
2023-12-04,433,70,150.7,Asia
2023-01-15,380,219,151.81,Africa
2023-10-28,893,77,31.44,Europe
2023-04-03,634,189,29.68,Africa
2023-06-23,32,3,23.48,Europe
2023-05-24,964,180,7.7,Asia
2023-08-17,606,360,185.79,Europe
2023-11-23,138,49,6.98,Australia
2023-12-03,530,500,156.58,Africa
2023-07-24,614,277,181.5,South America
2023-11-11,336,196,83.45,Africa
2023-03-30,616,530,16.76,Europe
2023-05-05,294,42,166.94,Asia
