date,visits,donations,average_donation_value,region,total_donation_value,quarter,month,day_of_week
2023-11-17,156,117,150.75,Africa,17637.75,2023Q4,11,Friday
2023-07-26,697,314,25.55,Australia,8022.7,2023Q3,7,Wednesday
2023-12-23,239,50,80.72,Australia,4036.0,2023Q4,12,Saturday
2023-02-24,657,339,39.07,South America,13244.73,2023Q1,2,Friday
2023-01-12,246,129,51.01,South America,6580.29,2023Q1,1,Thursday
2023-05-24,144,0,0.0,Africa,0.0,2023Q2,5,Wednesday
2023-05-09,326,83,29.99,South America,2489.17,2023Q2,5,Tuesday
2023-02-23,266,245,33.31,North America,8160.950000000001,2023Q1,2,Thursday
2023-08-24,266,200,87.54,Australia,17508.0,2023Q3,8,Thursday
2023-01-03,285,253,84.36,Australia,21343.079999999998,2023Q1,1,Tuesday
2023-08-30,578,215,169.64,Asia,36472.6,2023Q3,8,Wednesday
2023-06-21,533,26,128.93,North America,3352.1800000000003,2023Q2,6,Wednesday
2023-05-12,815,504,69.64,Australia,35098.56,2023Q2,5,Friday
2023-10-22,238,39,195.45,Africa,7622.549999999999,2023Q4,10,Sunday
2023-10-01,585,473,41.06,Australia,19421.38,2023Q4,10,Sunday
2023-07-26,341,149,76.39,Australia,11382.11,2023Q3,7,Wednesday
2023-10-01,399,0,0.0,Asia,0.0,2023Q4,10,Sunday
2023-07-03,795,244,126.68,South America,30909.920000000002,2023Q3,7,Monday
2023-07-04,395,233,88.21,North America,20552.93,2023Q3,7,Tuesday
2023-09-14,622,171,7.45,Asia,1273.95,2023Q3,9,Thursday
2023-05-21,732,250,31.26,Europe,7815.0,2023Q2,5,Sunday
2023-06-27,700,90,165.15,Asia,14863.5,2023Q2,6,Tuesday
2023-02-10,521,338,19.97,South America,6749.86,2023Q1,2,Friday
2023-04-04,222,199,128.86,Australia,25643.140000000003,2023Q2,4,Tuesday
2023-11-03,145,100,113.53,Australia,11353.0,2023Q4,11,Friday
2023-07-12,432,342,94.51,Africa,32322.420000000002,2023Q3,7,Wednesday
2023-06-30,358,47,24.37,Australia,1145.39,2023Q2,6,Friday
2023-09-29,863,276,56.98,Asia,15726.48,2023Q3,9,Friday
2023-03-19,137,12,149.28,North America,1791.3600000000001,2023Q1,3,Sunday
2023-04-17,333,47,106.67,Europe,5013.49,2023Q2,4,Monday
2023-07-01,329,121,109.13,Europe,13204.73,2023Q3,7,Saturday
2023-04-21,916,337,72.63,Africa,24476.309999999998,2023Q2,4,Friday
2023-10-12,589,220,71.84,Europe,15804.800000000001,2023Q4,10,Thursday
2023-12-02,987,647,95.0,North America,61465.0,2023Q4,12,Saturday
2023-03-02,909,874,119.32,Australia,104285.68,2023Q1,3,Thursday
2023-10-05,721,116,129.75,Australia,15051.0,2023Q4,10,Thursday
2023-06-11,151,116,33.21,South America,3852.36,2023Q2,6,Sunday
2023-08-07,143,42,30.76,Australia,1291.92,2023Q3,8,Monday
2023-10-29,608,347,182.73,South America,63407.31,2023Q4,10,Sunday
2023-03-15,584,41,188.63,North America,7733.83,2023Q1,3,Wednesday
2023-02-19,302,206,173.54,North America,35749.24,2023Q1,2,Sunday
2023-03-11,465,28,93.67,Australia,2622.76,2023Q1,3,Saturday
2023-10-30,571,183,42.74,South America,7821.42,2023Q4,10,Monday
2023-12-20,116,42,162.29,Asia,6816.179999999999,2023Q4,12,Wednesday
2023-09-23,122,98,12.54,South America,1228.9199999999998,2023Q3,9,Saturday
2023-11-11,325,108,146.81,Europe,15855.48,2023Q4,11,Saturday
2023-06-23,713,637,168.06,Europe,107054.22,2023Q2,6,Friday
2023-07-14,875,343,178.33,North America,61167.19,2023Q3,7,Friday
2023-05-28,188,181,20.15,South America,3647.1499999999996,2023Q2,5,Sunday
2023-09-14,245,15,16.38,Australia,245.7,2023Q3,9,Thursday
2023-03-28,264,166,8.45,South America,1402.6999999999998,2023Q1,3,Tuesday
2023-10-24,276,261,12.13,Asia,3165.9300000000003,2023Q4,10,Tuesday
2023-05-27,784,71,19.19,Africa,1362.49,2023Q2,5,Saturday
2023-01-30,261,220,199.41,Europe,43870.2,2023Q1,1,Monday
2023-11-17,863,399,136.76,Europe,54567.24,2023Q4,11,Friday
2023-08-18,79,61,175.05,North America,10678.050000000001,2023Q3,8,Friday
2023-12-18,772,64,182.79,North America,11698.56,2023Q4,12,Monday
2023-10-22,597,551,35.07,North America,19323.57,2023Q4,10,Sunday
2023-12-07,564,457,62.4,North America,28516.8,2023Q4,12,Thursday
2023-04-07,357,169,140.51,Australia,23746.19,2023Q2,4,Friday
2023-06-13,642,302,144.72,Europe,43705.44,2023Q2,6,Tuesday
2023-10-26,288,84,154.02,Europe,12937.68,2023Q4,10,Thursday
2023-03-18,875,436,89.66,South America,39091.76,2023Q1,3,Saturday
2023-06-15,175,143,27.06,Asia,3869.58,2023Q2,6,Thursday
2023-09-06,472,167,10.04,South America,1676.6799999999998,2023Q3,9,Wednesday
2023-11-03,761,129,128.19,North America,16536.51,2023Q4,11,Friday
2023-12-19,266,132,131.17,Australia,17314.44,2023Q4,12,Tuesday
2023-02-04,789,323,104.68,Africa,33811.64,2023Q1,2,Saturday
2023-10-06,432,241,199.42,South America,48060.219999999994,2023Q4,10,Friday
2023-04-11,901,594,140.63,Australia,83534.22,2023Q2,4,Tuesday
2023-10-02,440,121,137.88,Europe,16683.48,2023Q4,10,Monday
2023-10-20,770,455,50.81,Africa,23118.55,2023Q4,10,Friday
2023-05-08,342,64,126.21,Africa,8077.44,2023Q2,5,Monday
2023-05-26,366,220,33.67,Africa,7407.400000000001,2023Q2,5,Friday
2023-09-01,899,326,5.78,Europe,1884.28,2023Q3,9,Friday
2023-09-12,699,697,181.46,Africa,126477.62000000001,2023Q3,9,Tuesday
2023-11-10,127,7,115.09,North America,805.63,2023Q4,11,Friday
2023-09-27,184,93,44.82,Africa,4168.26,2023Q3,9,Wednesday
2023-12-26,750,578,53.44,Asia,30888.32,2023Q4,12,Tuesday
2023-02-06,895,382,135.68,South America,51829.76,2023Q1,2,Monday
2023-08-25,307,180,165.31,Europe,29755.8,2023Q3,8,Friday
2023-07-24,615,91,30.53,South America,2778.23,2023Q3,7,Monday
2023-02-22,461,171,126.6,South America,21648.6,2023Q1,2,Wednesday
2023-04-22,693,501,153.58,Africa,76943.58,2023Q2,4,Saturday
2023-10-27,780,110,54.05,Australia,5945.5,2023Q4,10,Friday
2023-03-20,392,376,40.53,South America,15239.28,2023Q1,3,Monday
2023-08-14,882,450,79.52,Australia,35784.0,2023Q3,8,Monday
2023-10-09,720,614,107.82,Europe,66201.48,2023Q4,10,Monday
2023-04-12,159,112,147.91,South America,16565.92,2023Q2,4,Wednesday
2023-09-23,837,400,71.76,South America,28704.000000000004,2023Q3,9,Saturday
2023-06-06,768,385,150.34,North America,57880.9,2023Q2,6,Tuesday
2023-01-14,314,124,31.94,Africa,3960.56,2023Q1,1,Saturday
2023-03-06,826,368,169.03,North America,62203.04,2023Q1,3,Monday
2023-12-27,113,1,188.7,North America,188.7,2023Q4,12,Wednesday
2023-05-20,836,666,98.56,Australia,65640.96,2023Q2,5,Saturday
2023-06-26,400,366,182.14,North America,66663.23999999999,2023Q2,6,Monday
2023-09-08,298,247,103.9,Asia,25663.300000000003,2023Q3,9,Friday
2023-11-21,627,33,86.81,Australia,2864.73,2023Q4,11,Tuesday
2023-02-20,474,394,38.19,Asia,15046.859999999999,2023Q1,2,Monday
2023-04-04,778,725,97.94,North America,71006.5,2023Q2,4,Tuesday
2023-03-22,505,246,108.76,Asia,26754.960000000003,2023Q1,3,Wednesday
2023-06-21,598,59,111.48,Africa,6577.320000000001,2023Q2,6,Wednesday
2023-11-09,124,60,10.17,Australia,610.2,2023Q4,11,Thursday
2023-12-12,223,171,152.4,Europe,26060.4,2023Q4,12,Tuesday
2023-03-12,433,42,73.08,Africa,3069.36,2023Q1,3,Sunday
2023-11-11,103,30,155.99,Asia,4679.700000000001,2023Q4,11,Saturday
2023-01-18,623,387,164.66,Africa,63723.42,2023Q1,1,Wednesday
2023-10-20,773,333,65.15,Australia,21694.95,2023Q4,10,Friday
2023-01-01,635,378,32.79,Australia,12394.619999999999,2023Q1,1,Sunday
2023-06-16,649,440,140.84,Europe,61969.6,2023Q2,6,Friday
2023-02-09,585,296,194.78,Europe,57654.88,2023Q1,2,Thursday
2023-08-29,412,222,169.04,South America,37526.88,2023Q3,8,Tuesday
2023-07-25,915,840,115.13,Europe,96709.2,2023Q3,7,Tuesday
2023-08-09,288,287,173.04,North America,49662.479999999996,2023Q3,8,Wednesday
2023-08-03,444,51,15.67,Europe,799.17,2023Q3,8,Thursday
2023-07-02,695,391,15.01,Australia,5868.91,2023Q3,7,Sunday
2023-06-17,18,0,0.0,Europe,0.0,2023Q2,6,Saturday
2023-08-14,65,16,84.05,Europe,1344.8,2023Q3,8,Monday
2023-04-04,144,67,165.65,Australia,11098.550000000001,2023Q2,4,Tuesday
2023-07-05,179,11,115.69,Africa,1272.59,2023Q3,7,Wednesday
2023-07-29,606,296,67.32,Australia,19926.719999999998,2023Q3,7,Saturday
2023-08-17,306,114,189.01,Asia,21547.14,2023Q3,8,Thursday
2023-11-16,447,293,186.65,South America,54688.450000000004,2023Q4,11,Thursday
2023-03-14,509,350,174.52,Asia,61082.0,2023Q1,3,Tuesday
2023-03-10,215,110,32.45,Australia,3569.5000000000005,2023Q1,3,Friday
2023-06-15,584,197,64.81,Australia,12767.57,2023Q2,6,Thursday
2023-03-12,375,331,86.81,North America,28734.11,2023Q1,3,Sunday
2023-01-21,729,84,49.56,South America,4163.04,2023Q1,1,Saturday
2023-09-04,168,145,27.69,Australia,4015.05,2023Q3,9,Monday
2023-06-18,931,409,137.12,South America,56082.08,2023Q2,6,Sunday
2023-10-08,534,301,31.15,North America,9376.15,2023Q4,10,Sunday
2023-06-03,360,99,68.09,North America,6740.910000000001,2023Q2,6,Saturday
2023-02-26,818,516,59.1,Asia,30495.600000000002,2023Q1,2,Sunday
2023-04-25,112,1,41.56,Africa,41.56,2023Q2,4,Tuesday
2023-02-10,930,43,151.06,South America,6495.58,2023Q1,2,Friday
2023-08-11,768,634,192.55,Africa,122076.70000000001,2023Q3,8,Friday
2023-12-26,535,382,156.35,South America,59725.7,2023Q4,12,Tuesday
2023-02-08,112,46,126.53,Europe,5820.38,2023Q1,2,Wednesday
2023-04-21,947,892,158.41,Africa,141301.72,2023Q2,4,Friday
2023-10-29,408,91,131.48,Asia,11964.679999999998,2023Q4,10,Sunday
2023-05-24,22,15,15.07,Australia,226.05,2023Q2,5,Wednesday
2023-09-30,955,604,64.68,Asia,39066.72,2023Q3,9,Saturday
2023-05-11,13,0,0.0,South America,0.0,2023Q2,5,Thursday
2023-12-10,775,116,186.26,Asia,21606.16,2023Q4,12,Sunday
2023-10-20,592,301,125.59,Europe,37802.590000000004,2023Q4,10,Friday
2023-11-06,491,117,37.64,North America,4403.88,2023Q4,11,Monday
2023-11-16,350,312,192.68,South America,60116.16,2023Q4,11,Thursday
2023-08-01,913,787,77.13,Africa,60701.31,2023Q3,8,Tuesday
2023-12-14,299,120,149.09,Australia,17890.8,2023Q4,12,Thursday
2023-08-31,168,110,91.6,Asia,10076.0,2023Q3,8,Thursday
2023-03-05,421,147,75.92,Asia,11160.24,2023Q1,3,Sunday
2023-10-18,209,86,162.98,Europe,14016.279999999999,2023Q4,10,Wednesday
2023-05-11,277,157,48.53,South America,7619.21,2023Q2,5,Thursday
2023-11-25,324,65,6.35,Europe,412.75,2023Q4,11,Saturday
2023-05-10,816,460,137.53,Africa,63263.8,2023Q2,5,Wednesday
2023-02-21,495,427,158.47,South America,67666.69,2023Q1,2,Tuesday
2023-10-16,668,578,79.88,Europe,46170.64,2023Q4,10,Monday
2023-02-17,84,75,86.82,Asia,6511.499999999999,2023Q1,2,Friday
2023-04-01,630,127,186.91,North America,23737.57,2023Q2,4,Saturday
2023-12-26,150,32,9.96,Australia,318.72,2023Q4,12,Tuesday
2023-12-27,235,113,104.23,Europe,11777.99,2023Q4,12,Wednesday
2023-12-25,600,465,83.75,Africa,38943.75,2023Q4,12,Monday
2023-09-27,648,175,77.64,Australia,13587.0,2023Q3,9,Wednesday
2023-05-12,529,127,79.0,Australia,10033.0,2023Q2,5,Friday
2023-09-09,855,585,13.76,South America,8049.599999999999,2023Q3,9,Saturday
2023-01-12,259,127,168.15,Europe,21355.05,2023Q1,1,Thursday
2023-10-27,191,15,109.05,Europe,1635.75,2023Q4,10,Friday
2023-09-10,713,276,134.41,Europe,37097.159999999996,2023Q3,9,Sunday
2023-03-31,914,902,100.09,South America,90281.18000000001,2023Q1,3,Friday
2023-07-03,399,13,142.93,Australia,1858.0900000000001,2023Q3,7,Monday
2023-06-26,645,607,123.26,South America,74818.82,2023Q2,6,Monday
2023-02-15,326,303,155.76,Asia,47195.28,2023Q1,2,Wednesday
2023-06-29,50,27,181.19,North America,4892.13,2023Q2,6,Thursday
2023-06-16,366,317,8.91,North America,2824.4700000000003,2023Q2,6,Friday
2023-10-03,100,21,120.92,Australia,2539.32,2023Q4,10,Tuesday
2023-10-09,99,27,141.72,Africa,3826.44,2023Q4,10,Monday
2023-02-26,136,25,67.92,Australia,1698.0,2023Q1,2,Sunday
2023-11-19,36,24,92.14,South America,2211.36,2023Q4,11,Sunday
2023-09-15,49,17,132.0,Europe,2244.0,2023Q3,9,Friday
2023-11-22,418,129,81.93,South America,10568.970000000001,2023Q4,11,Wednesday
2023-04-30,22,11,170.87,North America,1879.5700000000002,2023Q2,4,Sunday
2023-06-18,272,216,53.53,Asia,11562.48,2023Q2,6,Sunday
2023-05-15,764,383,16.88,Europe,6465.04,2023Q2,5,Monday
2023-09-27,186,31,18.5,Asia,573.5,2023Q3,9,Wednesday
2023-03-06,748,181,150.58,Australia,27254.980000000003,2023Q1,3,Monday
2023-06-20,54,15,44.43,South America,666.45,2023Q2,6,Tuesday
2023-04-03,656,627,133.44,North America,83666.88,2023Q2,4,Monday
2023-01-19,856,143,118.94,South America,17008.42,2023Q1,1,Thursday
2023-10-20,762,291,34.82,Australia,10132.62,2023Q4,10,Friday
2023-10-09,148,122,105.62,South America,12885.640000000001,2023Q4,10,Monday
2023-09-15,349,137,26.71,Asia,3659.27,2023Q3,9,Friday
2023-04-22,29,22,14.71,Africa,323.62,2023Q2,4,Saturday
2023-10-22,345,319,41.71,Africa,13305.49,2023Q4,10,Sunday
2023-05-24,851,251,123.07,Asia,30890.57,2023Q2,5,Wednesday
2023-11-16,523,200,51.95,Asia,10390.0,2023Q4,11,Thursday
2023-07-12,226,202,138.49,South America,27974.980000000003,2023Q3,7,Wednesday
2023-07-20,908,221,102.45,Europe,22641.45,2023Q3,7,Thursday
2023-08-23,815,282,69.69,Asia,19652.579999999998,2023Q3,8,Wednesday
2023-02-13,854,638,19.5,South America,12441.0,2023Q1,2,Monday
2023-06-20,975,935,66.59,South America,62261.65,2023Q2,6,Tuesday
2023-12-10,765,665,138.93,North America,92388.45000000001,2023Q4,12,Sunday
2023-05-17,686,473,81.52,North America,38558.96,2023Q2,5,Wednesday
2023-11-30,815,547,181.58,Africa,99324.26000000001,2023Q4,11,Thursday
2023-01-17,722,672,85.26,South America,57294.72,2023Q1,1,Tuesday
2023-07-03,430,411,96.51,Africa,39665.61,2023Q3,7,Monday
2023-07-26,132,86,119.17,South America,10248.62,2023Q3,7,Wednesday
2023-07-17,104,97,42.79,Europe,4150.63,2023Q3,7,Monday
2023-09-19,475,356,17.37,Asia,6183.72,2023Q3,9,Tuesday
2023-10-07,268,241,154.3,Asia,37186.3,2023Q4,10,Saturday
2023-11-11,716,203,79.71,Europe,16181.13,2023Q4,11,Saturday
2023-04-06,105,45,192.65,Asia,8669.25,2023Q2,4,Thursday
2023-10-13,470,374,112.14,North America,41940.36,2023Q4,10,Friday
2023-02-20,270,143,176.17,Australia,25192.309999999998,2023Q1,2,Monday
2023-05-16,551,118,130.4,Africa,15387.2,2023Q2,5,Tuesday
2023-03-15,57,57,26.1,Asia,1487.7,2023Q1,3,Wednesday
2023-11-05,587,244,88.37,Europe,21562.280000000002,2023Q4,11,Sunday
2023-11-14,17,2,68.14,North America,136.28,2023Q4,11,Tuesday
2023-04-21,127,127,54.16,Africa,6878.32,2023Q2,4,Friday
2023-09-24,519,507,95.49,Asia,48413.43,2023Q3,9,Sunday
2023-05-20,319,195,151.3,Australia,29503.500000000004,2023Q2,5,Saturday
2023-03-24,888,402,151.34,Asia,60838.68,2023Q1,3,Friday
2023-04-07,884,532,75.55,Asia,40192.6,2023Q2,4,Friday
2023-03-10,596,256,120.14,Asia,30755.84,2023Q1,3,Friday
2023-12-07,572,193,64.21,Africa,12392.529999999999,2023Q4,12,Thursday
2023-03-14,972,217,189.95,North America,41219.149999999994,2023Q1,3,Tuesday
2023-07-23,637,280,189.99,Europe,53197.200000000004,2023Q3,7,Sunday
2023-03-26,426,167,12.83,North America,2142.61,2023Q1,3,Sunday
2023-09-30,334,123,123.43,Asia,15181.890000000001,2023Q3,9,Saturday
2023-01-20,239,157,61.49,Asia,9653.93,2023Q1,1,Friday
2023-02-05,128,34,83.03,Asia,2823.02,2023Q1,2,Sunday
2023-08-18,932,467,12.4,Australia,5790.8,2023Q3,8,Friday
2023-01-01,186,103,161.92,Africa,16677.76,2023Q1,1,Sunday
2023-05-06,356,208,79.51,North America,16538.08,2023Q2,5,Saturday
2023-06-12,291,192,63.01,Europe,12097.92,2023Q2,6,Monday
2023-09-08,290,251,140.02,North America,35145.020000000004,2023Q3,9,Friday
2023-01-27,459,299,108.07,North America,32312.929999999997,2023Q1,1,Friday
2023-03-11,286,252,125.01,Asia,31502.52,2023Q1,3,Saturday
2023-09-10,540,162,174.56,Australia,28278.72,2023Q3,9,Sunday
2023-05-01,665,45,150.56,North America,6775.2,2023Q2,5,Monday
2023-11-17,393,271,132.03,Africa,35780.13,2023Q4,11,Friday
2023-11-09,359,226,178.32,Europe,40300.32,2023Q4,11,Thursday
2023-11-07,337,72,180.31,South America,12982.32,2023Q4,11,Tuesday
2023-01-20,235,50,139.6,Africa,6980.0,2023Q1,1,Friday
2023-01-27,563,544,22.54,North America,12261.76,2023Q1,1,Friday
2023-01-12,397,87,30.45,Europe,2649.15,2023Q1,1,Thursday
2023-02-20,925,507,126.67,Asia,64221.69,2023Q1,2,Monday
2023-05-10,595,321,164.66,Asia,52855.86,2023Q2,5,Wednesday
2023-08-28,488,288,94.73,South America,27282.24,2023Q3,8,Monday
2023-12-08,479,470,138.47,Africa,65080.9,2023Q4,12,Friday
2023-10-03,567,199,119.77,Australia,23834.23,2023Q4,10,Tuesday
2023-11-13,870,789,62.33,Australia,49178.369999999995,2023Q4,11,Monday
2023-12-29,328,142,153.69,North America,21823.98,2023Q4,12,Friday
2023-08-15,131,86,132.33,Europe,11380.380000000001,2023Q3,8,Tuesday
2023-04-25,59,38,145.35,Asia,5523.3,2023Q2,4,Tuesday
2023-07-15,300,0,0.0,Australia,0.0,2023Q3,7,Saturday
2023-10-17,434,393,78.23,North America,30744.390000000003,2023Q4,10,Tuesday
2023-09-29,553,273,172.2,Asia,47010.6,2023Q3,9,Friday
2023-01-25,718,364,87.02,South America,31675.28,2023Q1,1,Wednesday
2023-11-13,94,74,112.67,Africa,8337.58,2023Q4,11,Monday
2023-12-15,622,180,157.02,North America,28263.600000000002,2023Q4,12,Friday
2023-04-01,127,13,35.2,Europe,457.6,2023Q2,4,Saturday
2023-12-21,144,115,65.25,Australia,7503.75,2023Q4,12,Thursday
2023-10-11,735,178,52.89,Europe,9414.42,2023Q4,10,Wednesday
2023-09-16,998,539,139.55,Europe,75217.45000000001,2023Q3,9,Saturday
2023-03-24,79,71,30.21,Africa,2144.91,2023Q1,3,Friday
2023-11-16,477,402,47.11,Asia,18938.22,2023Q4,11,Thursday
2023-01-07,28,25,95.43,Africa,2385.75,2023Q1,1,Saturday
2023-06-18,339,169,30.15,Asia,5095.349999999999,2023Q2,6,Sunday
2023-07-04,483,358,44.1,Europe,15787.800000000001,2023Q3,7,Tuesday
2023-07-25,940,168,8.27,North America,1389.36,2023Q3,7,Tuesday
2023-10-12,578,365,116.42,Australia,42493.3,2023Q4,10,Thursday
2023-09-17,853,507,122.68,Australia,62198.76,2023Q3,9,Sunday
2023-03-08,784,447,67.36,Australia,30109.92,2023Q1,3,Wednesday
2023-03-06,656,552,112.32,Australia,62000.64,2023Q1,3,Monday
2023-11-23,165,121,121.69,Africa,14724.49,2023Q4,11,Thursday
2023-10-10,608,176,70.66,South America,12436.16,2023Q4,10,Tuesday
2023-02-19,108,60,87.08,Australia,5224.8,2023Q1,2,Sunday
2023-12-24,766,248,112.09,South America,27798.32,2023Q4,12,Sunday
2023-12-28,518,303,164.4,Africa,49813.200000000004,2023Q4,12,Thursday
2023-10-03,350,134,113.45,North America,15202.300000000001,2023Q4,10,Tuesday
2023-01-29,854,770,124.96,Australia,96219.2,2023Q1,1,Sunday
2023-09-15,682,414,113.86,Africa,47138.04,2023Q3,9,Friday
2023-10-16,536,23,49.0,Australia,1127.0,2023Q4,10,Monday
2023-07-25,356,264,154.17,Europe,40700.88,2023Q3,7,Tuesday
2023-05-25,219,201,153.55,Australia,30863.550000000003,2023Q2,5,Thursday
2023-04-04,299,121,15.74,Australia,1904.54,2023Q2,4,Tuesday
2023-12-04,55,17,172.47,North America,2931.99,2023Q4,12,Monday
2023-05-24,161,4,198.38,South America,793.52,2023Q2,5,Wednesday
2023-11-16,877,777,165.04,Europe,128236.07999999999,2023Q4,11,Thursday
2023-11-28,626,600,195.7,North America,117420.0,2023Q4,11,Tuesday
2023-10-17,905,73,188.63,Africa,13769.99,2023Q4,10,Tuesday
2023-10-24,336,96,141.19,Africa,13554.24,2023Q4,10,Tuesday
2023-07-25,518,301,48.02,Europe,14454.02,2023Q3,7,Tuesday
2023-10-19,235,123,174.6,Asia,21475.8,2023Q4,10,Thursday
2023-06-02,937,610,173.8,Australia,106018.0,2023Q2,6,Friday
2023-01-18,550,142,97.66,Asia,13867.72,2023Q1,1,Wednesday
2023-12-11,480,73,156.74,Australia,11442.02,2023Q4,12,Monday
2023-02-15,674,531,122.16,Africa,64866.96,2023Q1,2,Wednesday
2023-02-28,807,383,92.5,Asia,35427.5,2023Q1,2,Tuesday
2023-06-10,191,87,156.19,Asia,13588.53,2023Q2,6,Saturday
2023-01-03,310,36,164.59,North America,5925.24,2023Q1,1,Tuesday
2023-05-20,875,783,18.83,Australia,14743.89,2023Q2,5,Saturday
2023-02-07,402,378,180.8,North America,68342.40000000001,2023Q1,2,Tuesday
2023-08-24,512,103,98.62,South America,10157.86,2023Q3,8,Thursday
2023-07-19,216,0,0.0,Asia,0.0,2023Q3,7,Wednesday
2023-03-10,485,347,84.37,Africa,29276.390000000003,2023Q1,3,Friday
2023-08-11,121,27,195.77,South America,5285.79,2023Q3,8,Friday
2023-03-20,283,212,104.59,Europe,22173.08,2023Q1,3,Monday
2023-12-09,534,467,148.36,North America,69284.12000000001,2023Q4,12,Saturday
2023-02-07,710,268,53.69,Africa,14388.92,2023Q1,2,Tuesday
2023-08-19,179,87,146.53,Australia,12748.11,2023Q3,8,Saturday
2023-01-13,167,33,105.64,Australia,3486.12,2023Q1,1,Friday
2023-10-06,950,491,89.33,Australia,43861.03,2023Q4,10,Friday
2023-10-06,363,82,33.61,Europe,2756.02,2023Q4,10,Friday
2023-05-09,617,403,101.09,Africa,40739.270000000004,2023Q2,5,Tuesday
2023-07-09,964,610,162.82,North America,99320.2,2023Q3,7,Sunday
2023-03-25,959,575,185.64,Australia,106742.99999999999,2023Q1,3,Saturday
2023-09-12,465,188,38.42,North America,7222.96,2023Q3,9,Tuesday
2023-09-29,281,6,49.78,Europe,298.68,2023Q3,9,Friday
2023-08-09,481,307,180.62,South America,55450.340000000004,2023Q3,8,Wednesday
2023-11-02,700,186,56.79,Africa,10562.94,2023Q4,11,Thursday
2023-06-17,825,268,143.73,Australia,38519.64,2023Q2,6,Saturday
2023-08-08,43,22,152.41,Europe,3353.02,2023Q3,8,Tuesday
2023-01-31,555,154,170.64,Asia,26278.559999999998,2023Q1,1,Tuesday
2023-05-20,318,213,132.71,Asia,28267.230000000003,2023Q2,5,Saturday
2023-04-05,352,32,110.85,Australia,3547.2,2023Q2,4,Wednesday
2023-05-07,273,232,147.97,South America,34329.04,2023Q2,5,Sunday
2023-06-22,16,5,45.69,Asia,228.45,2023Q2,6,Thursday
2023-08-02,30,13,64.28,Asia,835.64,2023Q3,8,Wednesday
2023-05-27,915,2,180.09,North America,360.18,2023Q2,5,Saturday
2023-06-28,918,843,91.67,South America,77277.81,2023Q2,6,Wednesday
2023-07-05,455,199,137.85,Europe,27432.149999999998,2023Q3,7,Wednesday
2023-06-30,280,237,78.32,North America,18561.84,2023Q2,6,Friday
2023-12-28,530,361,195.29,Africa,70499.69,2023Q4,12,Thursday
2023-04-03,208,175,86.91,Africa,15209.25,2023Q2,4,Monday
2023-01-16,425,256,118.27,Africa,30277.12,2023Q1,1,Monday
2023-01-05,830,527,27.9,Australia,14703.3,2023Q1,1,Thursday
2023-02-05,51,0,0.0,Australia,0.0,2023Q1,2,Sunday
2023-10-16,280,12,16.07,Australia,192.84,2023Q4,10,Monday
2023-07-13,631,446,109.94,Australia,49033.24,2023Q3,7,Thursday
2023-12-22,642,11,14.7,Asia,161.7,2023Q4,12,Friday
2023-10-05,735,445,90.03,Asia,40063.35,2023Q4,10,Thursday
2023-05-17,633,558,75.43,Asia,42089.94,2023Q2,5,Wednesday
2023-06-16,466,50,103.16,Africa,5158.0,2023Q2,6,Friday
2023-01-31,254,87,192.47,North America,16744.89,2023Q1,1,Tuesday
2023-05-26,939,501,176.47,Europe,88411.47,2023Q2,5,Friday
2023-11-30,867,594,71.67,Europe,42571.98,2023Q4,11,Thursday
2023-07-24,330,190,54.62,Europe,10377.8,2023Q3,7,Monday
2023-09-11,898,38,108.11,Europe,4108.18,2023Q3,9,Monday
2023-10-31,980,794,108.09,Asia,85823.46,2023Q4,10,Tuesday
2023-11-15,289,180,20.05,Australia,3609.0,2023Q4,11,Wednesday
2023-09-02,669,327,95.41,Africa,31199.07,2023Q3,9,Saturday
2023-02-10,824,795,181.34,Asia,144165.3,2023Q1,2,Friday
2023-07-22,34,21,84.14,South America,1766.94,2023Q3,7,Saturday
2023-08-03,264,79,161.78,Asia,12780.62,2023Q3,8,Thursday
2023-11-20,665,352,70.63,North America,24861.76,2023Q4,11,Monday
2023-11-22,281,255,124.0,North America,31620.0,2023Q4,11,Wednesday
2023-09-08,154,107,62.27,Australia,6662.89,2023Q3,9,Friday
2023-02-18,98,4,85.44,Australia,341.76,2023Q1,2,Saturday
2023-10-15,253,160,19.22,Asia,3075.2,2023Q4,10,Sunday
2023-08-16,671,162,153.94,South America,24938.28,2023Q3,8,Wednesday
2023-02-02,564,384,191.06,North America,73367.04000000001,2023Q1,2,Thursday
2023-03-17,294,195,184.88,South America,36051.6,2023Q1,3,Friday
2023-04-07,321,109,174.03,South America,18969.27,2023Q2,4,Friday
2023-03-29,773,363,173.67,Asia,63042.20999999999,2023Q1,3,Wednesday
2023-08-14,955,112,36.82,North America,4123.84,2023Q3,8,Monday
2023-12-08,601,373,136.83,Africa,51037.590000000004,2023Q4,12,Friday
2023-05-17,334,265,80.47,South America,21324.55,2023Q2,5,Wednesday
2023-07-13,407,55,57.33,Australia,3153.15,2023Q3,7,Thursday
2023-09-02,981,311,12.72,South America,3955.92,2023Q3,9,Saturday
2023-11-27,713,349,175.1,South America,61109.9,2023Q4,11,Monday
2023-08-04,70,50,77.36,North America,3868.0,2023Q3,8,Friday
2023-01-05,652,343,166.43,Australia,57085.490000000005,2023Q1,1,Thursday
2023-07-02,356,54,130.69,North America,7057.26,2023Q3,7,Sunday
